filename,face,distance_m,ground_truth_mm,detected_mm,extension_pixels,tip_x
10m1cm1.bmp,1面,10,10,0.0,0,466
10m1cm2.bmp,1面,10,10,0.0,0,466
10m1cm3.bmp,1面,10,10,0.0,0,466
10m1cm4.bmp,1面,10,10,0.0,0,466
10m2cm1.bmp,1面,10,20,16.33,8,458
10m2cm2.bmp,1面,10,20,16.33,8,458
10m2cm3.bmp,1面,10,20,16.33,8,458
10m2cm4.bmp,1面,10,20,16.33,8,458
10m2cm5.bmp,1面,10,20,16.33,8,458
10m5mm1.bmp,1面,10,5,0.0,0,466
10m5mm2.bmp,1面,10,5,0.0,0,466
10m5mm3.bmp,1面,10,5,0.0,0,466
10m5mm4.bmp,1面,10,5,0.0,0,466
18m1cm1.bmp,1面,18,10,0.0,0,449
18m1cm2.bmp,1面,18,10,0.0,0,449
18m1cm3.bmp,1面,18,10,0.0,0,449
18m1cm4.bmp,1面,18,10,0.0,0,449
18m2cm1.bmp,1面,18,20,0.0,0,449
18m2cm2.bmp,1面,18,20,0.0,0,449
18m2cm3.bmp,1面,18,20,0.0,0,449
18m2cm4.bmp,1面,18,20,0.0,0,449
18m5mm1.bmp,1面,18,5,0.0,0,449
18m5mm2.bmp,1面,18,5,0.0,0,449
18m5mm3.bmp,1面,18,5,0.0,0,449
